,fruit,stage,nir_850,nir_940,R,G,B,temp_c,humidity_pct,voc_ppm
0,watermelon,raw,0.53,0.3745,161,86,55,18.24,90.07,0.2408
1,watermelon,raw,0.5333,0.3857,158,89,49,20.65,86.52,0.2524
2,watermelon,raw,0.5297,0.3763,160,88,63,19.15,85.72,0.2831
3,watermelon,raw,0.5176,0.381,164,83,57,19.12,88.73,0.2228
4,watermelon,raw,0.5197,0.3742,159,92,51,20.6,86.32,0.2611
5,watermelon,raw,0.5306,0.3865,157,97,55,20.16,85.56,0.2466
6,watermelon,raw,0.5294,0.3952,164,88,47,18.53,84.35,0.2377
7,watermelon,raw,0.5307,0.3936,155,95,53,18.47,85.17,0.2329
8,watermelon,raw,0.5325,0.3795,152,92,58,20.12,88.42,0.2354
9,watermelon,raw,0.5299,0.3845,162,92,57,18.73,86.4,0.2797
10,watermelon,raw,0.5323,0.3763,158,86,56,20.12,87.11,0.2319
11,watermelon,raw,0.5283,0.3868,160,96,53,19.05,85.27,0.2768
12,watermelon,raw,0.5277,0.3799,158,87,61,21.0,86.88,0.2405
13,watermelon,raw,0.5269,0.3863,161,87,53,20.99,88.78,0.2643
14,watermelon,raw,0.5268,0.3783,161,87,56,19.54,86.94,0.1974
15,watermelon,raw,0.5366,0.3953,152,89,57,19.62,86.26,0.2403
16,watermelon,raw,0.5412,0.376,163,86,56,21.42,86.63,0.2708
17,watermelon,raw,0.5295,0.3907,156,86,55,18.82,86.21,0.2156
18,watermelon,raw,0.5318,0.3923,162,88,56,20.27,87.99,0.2102
19,watermelon,raw,0.5365,0.3802,164,91,52,20.06,86.09,0.2339
20,watermelon,raw,0.5199,0.3911,162,93,55,20.82,84.72,0.1983
21,watermelon,raw,0.5273,0.384,163,91,58,22.26,87.72,0.2315
22,watermelon,raw,0.5264,0.3852,158,91,52,19.46,85.73,0.2547
23,watermelon,raw,0.5341,0.3806,159,85,55,22.5,86.3,0.2348
24,watermelon,raw,0.5324,0.392,157,93,55,22.23,89.46,0.237
25,watermelon,raw,0.5377,0.3851,161,89,47,20.15,88.91,0.2277
26,watermelon,raw,0.5289,0.3876,154,89,54,19.27,89.83,0.2374
27,watermelon,raw,0.5375,0.3899,156,89,57,22.01,88.44,0.229
28,watermelon,raw,0.527,0.3888,160,87,56,19.04,84.66,0.2777
29,watermelon,raw,0.5162,0.3904,163,87,53,21.55,88.09,0.255
30,watermelon,raw,0.5328,0.3784,159,93,54,19.66,84.14,0.2011
31,watermelon,raw,0.541,0.3851,156,88,59,21.12,87.47,0.2728
32,watermelon,raw,0.5296,0.3934,161,93,54,20.08,90.0,0.2048
33,watermelon,raw,0.5248,0.3813,155,95,56,20.03,84.93,0.2248
34,watermelon,raw,0.5336,0.3847,160,86,50,20.94,85.66,0.2558
35,watermelon,raw,0.5319,0.3764,160,87,49,20.77,87.44,0.2338
36,watermelon,raw,0.5215,0.3811,159,97,50,19.63,88.76,0.2376
37,watermelon,raw,0.5288,0.3713,157,100,62,20.06,87.56,0.2833
38,watermelon,raw,0.5338,0.391,160,89,51,22.65,85.52,0.1907
39,watermelon,raw,0.5335,0.3754,162,87,46,21.36,85.87,0.2419
40,watermelon,raw,0.5299,0.3882,155,84,59,21.76,85.04,0.2396
41,watermelon,raw,0.531,0.3897,159,91,54,20.46,84.43,0.2383
42,watermelon,raw,0.5393,0.3915,163,90,56,22.25,85.98,0.2044
43,watermelon,raw,0.5341,0.3825,153,95,52,22.77,84.6,0.2434
44,watermelon,raw,0.5278,0.3813,153,89,58,21.53,85.11,0.2209
45,watermelon,raw,0.5233,0.3829,154,91,52,18.57,86.58,0.2246
46,watermelon,raw,0.5329,0.3802,163,89,57,20.4,84.14,0.2234
47,watermelon,raw,0.5347,0.3876,156,92,53,21.55,86.34,0.2985
48,watermelon,raw,0.5414,0.3681,157,87,57,20.04,86.14,0.2374
49,watermelon,raw,0.5306,0.3836,164,90,51,21.41,86.06,0.258
50,watermelon,raw,0.5325,0.3791,163,94,50,20.91,85.33,0.2133
51,watermelon,raw,0.5281,0.3859,157,87,54,21.38,86.96,0.2299
52,watermelon,raw,0.5223,0.3866,162,94,54,18.53,87.44,0.2081
53,watermelon,raw,0.5222,0.3868,158,86,56,21.61,86.68,0.2517
54,watermelon,raw,0.5396,0.3835,152,84,47,20.62,85.28,0.2199
55,watermelon,raw,0.5318,0.3937,166,87,51,19.4,83.75,0.2111
56,watermelon,raw,0.5243,0.3774,160,92,56,18.16,90.17,0.2462
